,Num_Acc,mois,hrmn,lum,agg,int,atm,lat,long
31521,201800031522,1,1830,5,2,6,3.0,48.8124,7.7947
31522,201800031523,3,154,3,1,1,5.0,48.81583,7.81916
31523,201800031524,2,1412,1,2,4,1.0,48.78057,7.81617
31524,201800031525,3,1250,1,2,1,1.0,48.8114,7.79855
31525,201800031526,3,1331,1,1,1,2.0,48.8587,7.6575
31526,201800031527,4,1815,1,1,1,1.0,48.88079,7.76325
31527,201800031528,4,1550,1,2,1,1.0,48.78272,7.82369
31528,201800031529,4,1513,1,2,2,7.0,48.80545,7.77944
31529,201800031530,5,1545,1,2,1,1.0,48.81238,7.79443
31530,201800031531,5,1540,1,2,3,3.0,48.80187,7.78317
31531,201800031532,5,850,1,2,1,1.0,48.8162,7.7682
31532,201800031533,6,525,2,1,1,1.0,48.8714,7.8271
31533,201800031534,7,1916,1,2,1,1.0,48.79332,7.85095
31534,201800031535,7,1210,1,2,1,1.0,48.81302,7.79873
31535,201800031536,9,1623,1,2,1,1.0,48.82203,7.77994
31536,201800031537,9,858,1,1,6,1.0,48.8143,7.81921
31537,201800031538,10,1725,1,1,3,1.0,48.78667,7.75104
31538,201800031539,9,1815,1,1,9,1.0,48.79734,7.76174
31539,201800031540,10,1344,1,2,4,1.0,48.82609,7.79264
31540,201800031541,11,640,3,1,3,1.0,48.78671,7.75092
31541,201800031542,11,1220,1,2,3,1.0,48.80726,7.80275
31542,201800031543,12,1830,5,2,3,2.0,48.81207,7.80197
