Num_Acc,catv,obs,obsm,manv
201800000613,07,00,2,06
201800000614,33,00,2,17
201800000614,07,00,2,01
201800000615,33,00,2,13
201800000615,07,00,2,01
201800000616,17,13,0,01
201800000617,02,00,2,05
201800000617,07,00,2,01
201800000618,01,00,2,13
201800000618,33,00,2,05
201800000619,07,00,2,01
201800000619,07,00,2,01
201800000620,07,00,2,01
201800000620,01,00,2,01
201800000621,07,13,0,00
201800000622,07,00,2,03
201800000622,07,00,2,00
201800000623,07,00,2,15
201800000623,01,00,2,01
201800000624,07,00,2,15
201800000624,07,00,2,01
201800000625,07,00,2,15
201800000625,30,00,2,01
201800000626,07,00,2,01
201800000626,32,00,2,09
201800000627,02,06,0,17
201800000627,07,00,0,15
201800000628,07,13,0,00
201800000629,07,00,1,01
201800000630,33,00,2,17
201800000630,07,00,2,15
201800000631,07,00,1,00
201800000632,07,00,1,01
201800000633,02,16,0,01
201800000634,07,00,0,00
201800000635,02,00,0,01
201800000636,07,13,0,01
201800000637,07,00,1,01
201800000638,07,15,1,01
201800000639,07,00,1,13
201800000640,07,06,0,01
201800000641,07,00,2,15
201800000641,07,00,2,01
201800000642,07,00,2,01
201800000642,02,00,2,13
201800000643,07,13,0,01
201800000644,37,11,0,01
201800000645,01,00,1,01
201800000646,07,06,0,01
201800000647,10,02,0,01
201800000648,07,00,2,13
201800000648,07,00,2,01
201800000649,07,00,2,22
201800000649,01,00,2,01
201800000650,07,13,0,17
201800000651,07,00,2,15
201800000651,01,00,2,01
201800000652,07,00,2,17
201800000652,07,00,2,01
201800000652,07,00,2,01
201800000652,07,00,2,00
201800000653,07,00,2,01
